HeritageItemID,SchoolName,HeritageTypeName,HeritageGroupName,EndorsedSignificance,ListingNumber,AreaHectares,AboriginalAreaName,Suburb,Address,LocalGovtAreaName,StreetNumber,StreetName
5063842,Albury Public School - Building B00B,Built,,1,5,2.67269,Wiradjuri,Albury,481 David Street Albury 2640,Albury City,481,David Street
5063843,Albury Public School - Buildings B00G and B00J,Built,,1,5,2.67269,Wiradjuri,Albury,481 David Street Albury 2640,Albury City,481,David Street
5063845,"Albury High School - Buildings B00A, B00G and B00L, Period Fencing and Significant Trees",Built,,1,5,1.649,Wiradjuri,Albury,625 Kiewa Street Albury 2640,Albury City,625,Kiewa Street
5063846,Albury High School - Building B00L,Built,,1,5,2.35,Wiradjuri,Albury,625 Kiewa Street Albury 2640,Albury City,625,Kiewa Street
5063848,Albury Public School - Building B00H,Built,,1,5,2.67269,Wiradjuri,Albury,481 David Street Albury 2640,Albury City,481,David Street
5063849,Lavington Public School - Memorial Gates,Built,,1,5,2.6304,Wiradjuri,Lavington,494 Urana Road and 497 Hague Street Lavington 2641,Albury City,,494 Urana Road and 497 Hague Street
5063998,Albury High School,Complex / Group,Education,1,6,3.999,Wiradjuri,Albury,625 Kiewa Street Albury 2640,Albury City,625,Kiewa Street
5063850,Armidale High School - Building B00B and Grounds,Built,,1,5,18.2531,Anaiwan,Armidale,158-182 Butler Street Armidale 2350,Armidale Dumaresq,158-182,Butler Street
5063851,Armidale City Public School - Grounds,Landscape,,1,5,2.97331,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street
5063852,Drummond Memorial Public School - Grounds and Significant Trees,Landscape,,1,5,3.18364,Anaiwan,Armidale,250 Rusden Street Armidale 2350,Armidale Dumaresq,250,Rusden Street
5063853,Armidale City Public School - Site of Police Residential Complex,Archaeological-Terrestrial,,1,5,0.8751,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street
5063854,Armidale City Public School - Site of National School and Superior Public School,Archaeological-Terrestrial,,1,5,1.1939,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street
5063855,Armidale City Public School - Site of Old Burial Ground,Archaeological-Terrestrial,,1,5,0.26941,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street
5063999,Armidale City Public School,Complex / Group,Education,1,6,2.97331,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street
5063856,Canterbury Boys High School - Building  B00A,Built,,1,5,2.723,Eora,Ashbury,220-252 Holden Street Ashbury 2193,Ashfield,220-252,Holden Street
5063857,Summer Hill Public School - Buildings B00B and B00C,Built,,1,5,0.85802,Eora,Summer Hill,20-26 Junction Road Summer Hill 2130,Ashfield,20-26,Junction Road
5063858,Dobroyd Point Public School,Complex / Group,Education,1,6,1.0232,Eora,Haberfield,87 Waratah Street Haberfield 2045,Ashfield,87,Waratah Street
5063861,Haberfield Public School,Complex / Group,Education,1,6,1.683,Eora,Haberfield,149A Bland Street Haberfield 2045,Ashfield,149A,Bland Street
5063879,"Auburn Public School - Buildings B00A-B00C, B00F, B00H, B00J, B00K and B00O and Significant Tree",Built,,1,5,2.25143,Eora,Auburn,72 and 131 Auburn Road Auburn 2144,Auburn,72 and 131,Auburn Road
