HeritageItemID,SchoolName_x,HeritageTypeName,HeritageGroupName,EndorsedSignificance,ListingNumber,AreaHectares,AboriginalAreaName,Suburb,Address,LocalGovtAreaName,StreetNumber,StreetName,MatchName,ItemName,School_code,AgeID,SchoolName_y,Street,Town_suburb,Postcode,Latitude,Longitude
5063842,Albury Public School - Building B00B,Built,,1,5,2.67269,Wiradjuri,Albury,481 David Street Albury 2640,Albury City,481,David Street,albury public school,Building B00B,1017.0,50441.0,albury public school,481 David St,Albury ,2640.0,-36.082454,146.919253
5063843,Albury Public School - Buildings B00G and B00J,Built,,1,5,2.67269,Wiradjuri,Albury,481 David Street Albury 2640,Albury City,481,David Street,albury public school,Buildings B00G and B00J,1017.0,50441.0,albury public school,481 David St,Albury ,2640.0,-36.082454,146.919253
5063845,"Albury High School - Buildings B00A, B00G and B00L, Period Fencing and Significant Trees",Built,,1,5,1.649,Wiradjuri,Albury,625 Kiewa Street Albury 2640,Albury City,625,Kiewa Street,albury high school,"Buildings B00A, B00G and B00L, Period Fencing and Significant Trees",8101.0,50438.0,albury high school,Kiewa St,Albury ,2640.0,-36.072846,146.915442
5063846,Albury High School - Building B00L,Built,,1,5,2.35,Wiradjuri,Albury,625 Kiewa Street Albury 2640,Albury City,625,Kiewa Street,albury high school,Building B00L,8101.0,50438.0,albury high school,Kiewa St,Albury ,2640.0,-36.072846,146.915442
5063848,Albury Public School - Building B00H,Built,,1,5,2.67269,Wiradjuri,Albury,481 David Street Albury 2640,Albury City,481,David Street,albury public school,Building B00H,1017.0,50441.0,albury public school,481 David St,Albury ,2640.0,-36.082454,146.919253
5063849,Lavington Public School - Memorial Gates,Built,,1,5,2.6304,Wiradjuri,Lavington,494 Urana Road and 497 Hague Street Lavington 2641,Albury City,,494 Urana Road and 497 Hague Street,lavington public school,Memorial Gates,2378.0,50448.0,lavington public school,497 Hague St,Lavington ,2641.0,-36.037411,146.928265
5063998,Albury High School,Complex / Group,Education,1,6,3.999,Wiradjuri,Albury,625 Kiewa Street Albury 2640,Albury City,625,Kiewa Street,albury high school,,8101.0,50438.0,albury high school,Kiewa St,Albury ,2640.0,-36.072846,146.915442
5063850,Armidale High School - Building B00B and Grounds,Built,,1,5,18.2531,Anaiwan,Armidale,158-182 Butler Street Armidale 2350,Armidale Dumaresq,158-182,Butler Street,armidale high school,Building B00B and Grounds,,,,,,,,
5063851,Armidale City Public School - Grounds,Landscape,,1,5,2.97331,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street,armidale city public school,Grounds,1057.0,49372.0,armidale city public school,Faulkner St,Armidale ,2350.0,-30.519501,151.664056
5063852,Drummond Memorial Public School - Grounds and Significant Trees,Landscape,,1,5,3.18364,Anaiwan,Armidale,250 Rusden Street Armidale 2350,Armidale Dumaresq,250,Rusden Street,drummond memorial public school,Grounds and Significant Trees,1058.0,49376.0,drummond memorial public school,250 Rusden Street,ARMIDALE,2350.0,-30.511469,151.650715
5063853,Armidale City Public School - Site of Police Residential Complex,Archaeological-Terrestrial,,1,5,0.8751,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street,armidale city public school,Site of Police Residential Complex,1057.0,49372.0,armidale city public school,Faulkner St,Armidale ,2350.0,-30.519501,151.664056
5063854,Armidale City Public School - Site of National School and Superior Public School,Archaeological-Terrestrial,,1,5,1.1939,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street,armidale city public school,Site of National School and Superior Public School,1057.0,49372.0,armidale city public school,Faulkner St,Armidale ,2350.0,-30.519501,151.664056
5063855,Armidale City Public School - Site of Old Burial Ground,Archaeological-Terrestrial,,1,5,0.26941,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street,armidale city public school,Site of Old Burial Ground,1057.0,49372.0,armidale city public school,Faulkner St,Armidale ,2350.0,-30.519501,151.664056
5063999,Armidale City Public School,Complex / Group,Education,1,6,2.97331,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street,armidale city public school,,1057.0,49372.0,armidale city public school,Faulkner St,Armidale ,2350.0,-30.519501,151.664056
5063856,Canterbury Boys High School - Building  B00A,Built,,1,5,2.723,Eora,Ashbury,220-252 Holden Street Ashbury 2193,Ashfield,220-252,Holden Street,canterbury boys high school,Building  B00A,8107.0,46392.0,canterbury boys high school,Holden St,Canterbury ,2193.0,-33.904178,151.123884
5063857,Summer Hill Public School - Buildings B00B and B00C,Built,,1,5,0.85802,Eora,Summer Hill,20-26 Junction Road Summer Hill 2130,Ashfield,20-26,Junction Road,summer hill public school,Buildings B00B and B00C,3129.0,44414.0,summer hill public school,Moonbie St,Summer Hill ,2130.0,-33.895815,151.135853
5063858,Dobroyd Point Public School,Complex / Group,Education,1,6,1.0232,Eora,Haberfield,87 Waratah Street Haberfield 2045,Ashfield,87,Waratah Street,dobroyd point public school,,3873.0,47598.0,dobroyd point public school,89 Waratah Street,Haberfield,2045.0,-33.874416,151.140692
5063861,Haberfield Public School,Complex / Group,Education,1,6,1.683,Eora,Haberfield,149A Bland Street Haberfield 2045,Ashfield,149A,Bland Street,haberfield public school,,2117.0,45499.0,haberfield public school,Denman Ave,Haberfield ,2045.0,-33.879467,151.134002
5063879,"Auburn Public School - Buildings B00A-B00C, B00F, B00H, B00J, B00K and B00O and Significant Tree",Built,,1,5,2.25143,Eora,Auburn,72 and 131 Auburn Road Auburn 2144,Auburn,72 and 131,Auburn Road,auburn public school,"Buildings B00A-B00C, B00F, B00H, B00J, B00K and B00O and Significant Tree",7403.0,47800.0,auburn public school,Auburn Rd & Beatrice St,Auburn,2144.0,-33.854,151.032953
5063894,"Auburn North Public School - Buildings B00F, B00G and B00I and Significant Trees",Built,,1,5,3.24822,Eora,Auburn,153-159 Parramatta Road Auburn 2144,Auburn,153-159,Parramatta Road,auburn north public school,"Buildings B00F, B00G and B00I and Significant Trees",1073.0,47799.0,auburn north public school,100 Adderley St,Auburn ,2144.0,-33.841669,151.038618
5063899,"Berala Public School - Building B00A, B00C and B00G",Built,,1,5,2.42176,Eora,Berala,216 Harrow Road Berala 2141,Auburn,216,Harrow Road,berala public school,"Building B00A, B00C and B00G",1199.0,45498.0,berala public school,Harrow Rd,Berala,2141.0,-33.869714,151.028244
5063914,"Lidcombe Public School - Buildings B00A, B00B, B00D, B00G, B00H and B00I",Built,,1,5,2.436,Eora,Lidcombe,1 Mills Street Lidcombe 2141,Auburn,1,Mills Street,lidcombe public school,"Buildings B00A, B00B, B00D, B00G, B00H and B00I",2394.0,47790.0,lidcombe public school,Mills Street,Lidcombe ,2141.0,-33.861019,151.046926
5063929,Ballina Public School - Building B00C,Built,,1,5,0.2175,Bundjalung,Ballina,30-52 Crane Street Ballina 2478,Ballina,30-52,Crane Street,ballina public school,Building B00C,1112.0,49765.0,ballina public school,48 Crane St,Ballina ,2478.0,-28.869724,153.563707
5063930,Ballina Public School - Building B00D,Built,,1,5,0.435,Bundjalung,Ballina,30-52 Crane Street Ballina 2478,Ballina,30-52,Crane Street,ballina public school,Building B00D,1112.0,49765.0,ballina public school,48 Crane St,Ballina ,2478.0,-28.869724,153.563707
5063932,Ballina Coast High School - Building B00C,Built,,1,5,2.145,Bundjalung,Ballina,37-49 Swift Street Ballina 2478,Ballina,37-49,Swift Street,ballina coast high school,Building B00C,8195.0,49764.0,ballina coast high school,57 Cherry Street,BALLINA,2478.0,-28.866603,153.565058
5063938,Cabbage Tree Island Public School - Curtilage,Landscape,,1,5,0.8094,Bundjalung,Cabbage Tree Island,Cabbage Tree Island 2477,Ballina,,,cabbage tree island public school,Curtilage,1471.0,49762.0,cabbage tree island public school,50 Bath St,Wardell,2477.0,-28.947741,153.458499
5063944,Fernleigh Public School - Building B00A,Built,,1,5,0.8094,Bundjalung,Fernleigh,451 Fernleigh Road Fernleigh 2479,Ballina,451,Fernleigh Road,fernleigh public school,Building B00A,2214.0,49772.0,fernleigh public school,451 Fernleigh Rd,Fernleigh ,2479.0,-28.76765,153.498399
5063945,Rous Public School - Building B00A,Built,,1,5,0.8094,Bundjalung,Rous,248 Rous Road Rous 2477,Ballina,248,Rous Road,rous public school,Building B00A,3006.0,49763.0,rous public school,Rous Mill Rd,Alstonville ,2477.0,-28.870683,153.406624
5063946,Bankstown Public School - Buildings B001-B005,Built,,1,5,1.619,Eora,Bankstown,Restwell Street Bankstown 2200,Bankstown,,Restwell Street,bankstown public school,Buildings B001-B005,7405.0,48575.0,bankstown public school,61 Restwell St,Bankstown ,2200.0,-33.921122,151.034168
5063947,Bankstown West Public School - Buildings B00A-B00C and B00E,Built,,1,5,1.741,Eora,Bankstown,141 William Street Bankstown 2200,Bankstown,141,William Street,bankstown west public school,Buildings B00A-B00C and B00E,4142.0,48578.0,bankstown west public school,William St,Bankstown,2200.0,-33.915528,151.019639
5063948,"Greenacre Public School - Buildings B00A, B00B and B00E",Built,,1,5,1.76333,Eora,Greenacre,105 Waterloo Road Greenacre 2190,Bankstown,105,Waterloo Road,greenacre public school,"Buildings B00A, B00B and B00E",1123.0,48557.0,greenacre public school,89-105 Waterloo Rd Greenacre NSW 2190,,2190.0,-33.911161,151.057581
5063949,Karningul School - Building B00A,Built,,1,5,1.284471,Eora,Regents Park,2A Bagdad Street Regents Park 2143,Bankstown,2A,Bagdad Street,karningul school,Building B00A,5581.0,57886.0,karningul school,1A Auburn Rd,Regents Park ,2143.0,-33.88501,151.023804
5063950,Revesby Public School - Building B00E,Built,,1,5,1.49682,Eora,Revesby,84 The River Road Revesby 2212,Bankstown,84,The River Road,revesby public school,Building B00E,2958.0,48613.0,revesby public school,Victoria St,Revesby ,2212.0,-33.944449,151.017145
5066989,Bankstown North Public School - Building B00A,Built,,0,6,,Eora,Bankstown,322 Hume Highway Bankstown 2200,Bankstown,322,Hume Highway,bankstown north public school,Building B00A,1124.0,48574.0,bankstown north public school,322 Hume Hwy,Bankstown ,2200.0,-33.904888,151.038043
5063952,Bathurst Public School - Buildings B00D-B00F,Built,,1,5,3.989,Wiradjuri,Bathurst,281 George Street Bathurst 2795,Bathurst Regional,281,George Street,bathurst public school,Buildings B00D-B00F,1150.0,50975.0,bathurst public school,George St,Bathurst ,2795.0,-33.420942,149.570615
5063957,Denison College of Secondary Education - Building B00H,Built,,1,5,2.023,Wiradjuri,Bathurst,190 Hope Street Bathurst 2795,Bathurst Regional,190,Hope Street,denison college of secondary education,Building B00H,,,,,,,,
5063959,O'Connell Public School - Building B00A,Built,,1,5,0.8094,Wiradjuri,O'Connell,15 Black Mills Lane O'Connell 2795,Bathurst Regional,15,Black Mills Lane,o'connell public school,Building B00A,2798.0,50984.0,o'connell public school,15 Black's Mill Lane,O'Connell ,2795.0,-33.524513,149.720076
5063961,Perthville Public School - Buildings B00A and B00C,Built,,1,5,0.2023,Wiradjuri,Perthville,Prince Street Perthville 2795,Bathurst Regional,,Prince Street,perthville public school,Buildings B00A and B00C,2862.0,50985.0,perthville public school,26 Rockley Street,PERTHVILLE,2795.0,-33.491052,149.550052
5063962,Bathurst Public School,Complex / Group,Education,1,6,3.989,Wiradjuri,Bathurst,281 George Street Bathurst 2795,Bathurst Regional,281,George Street,bathurst public school,,1150.0,50975.0,bathurst public school,George St,Bathurst ,2795.0,-33.420942,149.570615
5064000,Denison College of Secondary Education,Complex / Group,Education,1,6,4.046,Wiradjuri,Bathurst,190 Hope Street Bathurst 2795,Bathurst Regional,190,Hope Street,denison college of secondary education,,,,,,,,,
5064001,Hill End Public School,Complex / Group,Education,1,6,0.83657,Wiradjuri,Hill End,19 Tambaroora Street Hill End 2850,Bathurst Regional,19,Tambaroora Street,hill end public school,,2161.0,51075.0,hill end public school,Tambaroora St,Hill End ,2850.0,-33.034573,149.415886
5064003,Perthville Public School,Complex / Group,Education,1,6,1.31092,Wiradjuri,Perthville,Prince Street Perthville 2795,Bathurst Regional,,Prince Street,perthville public school,,2862.0,50985.0,perthville public school,26 Rockley Street,PERTHVILLE,2795.0,-33.491052,149.550052
5064004,Rockley Public School,Complex / Group,Education,1,6,0.8092,Wiradjuri,Rockley,30 Hill Street Rockley 2795,Bathurst Regional,30,Hill Street,rockley public school,,2974.0,50987.0,rockley public school,Hill St,Rockley ,2795.0,-33.69193,149.562554
5064005,Sofala Public School,Complex / Group,Education,1,6,0.645,Wiradjuri,Sofala,Turon Terrace Sofala 2795,Bathurst Regional,,Turon Terrace,sofala public school,,3077.0,50988.0,sofala public school,Turon Terrace,Sofala ,2795.0,-33.082242,149.695172
5064006,Wattle Flat Public School,Complex / Group,Education,1,6,0.6071,Wiradjuri,Wattle Flat,3807 Sofala Road Wattle Flat 2795,Bathurst Regional,3807,Sofala Road,wattle flat public school,,3402.0,50991.0,wattle flat public school,Mudgee-Bathurst Rd,Wattle Flat ,2795.0,-33.141545,149.692677
5064007,Bathurst West Public School,Complex / Group,Education,1,6,0.0335,Wiradjuri,Bathurst,35 Suttor Road Bathurst 2795,Bathurst Regional,35,Suttor Road,bathurst west public school,,3824.0,50977.0,bathurst west public school,Suttor St,Bathurst ,2795.0,-33.411002,149.559746
5066084,Kelso Public School,Complex / Group,Education,1,6,0.0973,Wiradjuri,Kelso,21 Gilmour Street Kelso 2795,Bathurst Regional,21,Gilmour Street,kelso public school,,2275.0,50980.0,kelso public school,19 Gilmour Street,Kelso ,2795.0,-33.416969,149.605156
5064011,Bega Valley Public School - former CBC Bank,Built,,3,5,0.1015,Dhurga,Bega,21 Auckland Street Bega 2550,Bega Valley,21,Auckland Street,bega valley public school,former CBC Bank,1168.0,69739.0,bega valley public school,27 Auckland St,Bega ,2550.0,-36.670545,149.839095
5064012,"Bega Valley Public School - Buildings B00A, B00C and B00D",Built,,1,5,0.8094,Dhurga,Bega,21 Auckland Street Bega 2550,Bega Valley,21,Auckland Street,bega valley public school,"Buildings B00A, B00C and B00D",1168.0,69739.0,bega valley public school,27 Auckland St,Bega ,2550.0,-36.670545,149.839095
5064013,Bega High School - Memorial Garden,Landscape,,1,5,0.8094,Dhurga,Bega,96-106 Upper Street Bega 2550,Bega Valley,96-106,Upper Street,bega high school,Memorial Garden,8165.0,50182.0,bega high school,Upper & Eden Sts,Bega ,2550.0,-36.678459,149.838766
5064014,Bemboka Public School - Building B00A,Built,,1,5,1.2595,Ngarigu,Bemboka,43-45 Nimmitabel Street Bemboka 2550,Bega Valley,43-45,Nimmitabel Street,bemboka public school,Building B00A,1189.0,50185.0,bemboka public school,Kameruka St,Bemboka ,2550.0,-36.631309,149.571075
